video_id,title,channel,url,published_at,duration_formatted,duration_seconds,view_count,like_count,comment_count,engagement_ratio,audio_path,audio_total_duration,audio_silence_ratio,audio_zero_crossing_rate,audio_mean_volume,transcription_status,transcription_audio_duration,num_speakers,speakers_list,num_segments,avg_confidence,detected_languages,dataset_score,estimated_speech_ratio,video_avg_confidence,video_dataset_score,video_detected_languages,niche,llm_score,llm_reason,tags,category_id,default_language,default_audio_language,caption_available,definition,licensed_content,projection,privacy_status,made_for_kids,topic_categories,passed_filters,failed_filters,description_preview
aA3qShylGcw,Hà Nội: Nguy cơ bùng phát sốt xuất huyết | VTV24,VTV24,https://www.youtube.com/watch?v=aA3qShylGcw,2026-06-14T00:00:00Z,2m 49s,169,3025,20,0,0.66,Ha_Noi_Nguy_co_bung_phat_sot_xuat_huyet_VTV24.wav,,,,,completed,169.28,1,SPEAKER_00,26,,"[""Tiếng VI-ORIG""]",,0.0,0.0,0.0,,,0.0,,"[""tin tức"", ""vtv24"", ""tin tức vtv"", ""thời sự vtv"", ""thời sự vtv24"", ""tin tức trong ngày"", ""chuyển động 24h"", ""tintuc"", ""tin tuc"", ""Hà Nội"", ""sốt xuất huyết"", ""Nguy cơ"", ""bùng phát""]",News & Politics,vi,,True,hd,False,rectangular,public,False,[],passed_all_criteria,,"Trên cả nước từ đầu năm đến nay đã ghi nhận hơn 50 nghìn ca mắc sốt xuất huyết, Con số này cao gấp 2.5 lần cùng kỳ năm ngoái.  Tại Hà Nội, 93/126 phườ"
mvJWrb9MFiw,World Cup 2026: Qatar – Thụy Sĩ | Var – Penalty gây tranh cãi | VTV24,VTV24,https://www.youtube.com/watch?v=mvJWrb9MFiw,2026-06-14T00:00:00Z,1m 47s,107,20390,55,0,0.27,World_Cup_2026_Qatar_Thuy_Si_Var_Penalty_gay_tranh_cai_VTV24.wav,,,,,completed,106.56,1,SPEAKER_00,15,,"[""Tiếng VI-ORIG""]",,0.0,0.0,0.0,,,0.0,,"[""tin tức"", ""vtv24"", ""tin tức vtv"", ""thời sự vtv"", ""thời sự vtv24"", ""tin tức trong ngày"", ""chuyển động 24h"", ""tintuc"", ""tin tuc"", ""world cup 2026"", ""qatar vs thuy si"", ""penalty thuy si"", ""var world cup"", ""kết quả bóng đá"", ""thuy si penalty"", ""highlights tran dau"", ""video ban thang"", ""embolo ghi ban"", ""khoukhi gỡ hòa"", ""tranh cai var"", ""kịch tính phút bù giờ"", ""bảng b world cup"", ""highlights qatar thuy si"", ""world cup"", ""vtv3 trực tiếp"", ""wc 2026"", ""vtvgo"", ""trực tiếp bóng đá world cup"", ""trực tiếp world cup""]",News & Politics,vi,,True,hd,False,rectangular,public,False,[],passed_all_criteria,,Quyết định công nhận quả phạt đền giúp Thụy Sĩ mở tỷ số trong trận hòa Qatar 1-1 ở bảng B World Cup 2026 khiến nhiều người hâm mộ khó hiểu. Xem đầy đủ
ND5UDKoyR-8,World Cup 2026: Qatar – Thụy Sĩ | Bàn thắng phút bù giờ cuối cùng | VTV24,VTV24,https://www.youtube.com/watch?v=ND5UDKoyR-8,2026-06-14T00:00:00Z,1m 25s,85,5201,39,0,0.75,World_Cup_2026_Qatar_Thuy_Si_Ban_thang_phut_bu_gio_cuoi_cung_VTV24.wav,,,,,completed,85.099,1,SPEAKER_00,9,,"[""Tiếng VI-ORIG""]",,0.0,0.0,0.0,,,0.0,,"[""tin tức"", ""vtv24"", ""tin tức vtv"", ""thời sự vtv"", ""thời sự vtv24"", ""tin tức trong ngày"", ""chuyển động 24h"", ""tintuc"", ""world cup 2026"", ""qatar vs thuy si"", ""penalty thuy si"", ""var world cup"", ""kết quả bóng đá"", ""thuy si penalty"", ""highlights tran dau"", ""video ban thang"", ""embolo ghi ban"", ""khoukhi gỡ hòa"", ""tranh cai var"", ""kịch tính phút bù giờ"", ""bảng b world cup"", ""highlights qatar thuy si"", ""world cup"", ""vtv3 trực tiếp"", ""wc 2026"", ""vtvgo"", ""trực tiếp bóng đá world cup"", ""trực tiếp world cup"", ""highlight world cup 2026""]",News & Politics,vi,,True,hd,False,rectangular,public,False,[],passed_all_criteria,,"Trong thời điểm thất bại đã cận kề, trung vệ Qatar - Abdelkarim Hassan Khoukhi (35 tuổi) bất ngờ tỏa sáng với pha đánh đầu ghi bàn ở phút 90+4. Bàn th"
E9ui_Mg-IQo,Cảnh báo cháy rừng hiệu quả với hệ thống camera A.I | VTV24,VTV24,https://www.youtube.com/watch?v=E9ui_Mg-IQo,2026-06-14T00:00:00Z,2m 45s,165,944,17,0,1.8,Canh_bao_chay_rung_hieu_qua_voi_he_thong_camera_A_I_VTV24.wav,,,,,completed,165.12,1,SPEAKER_00,20,,"[""Tiếng VI-ORIG""]",,0.0,0.0,0.0,,,0.0,,"[""tin tức"", ""vtv24"", ""tin tức vtv"", ""thời sự vtv"", ""thời sự vtv24"", ""tin tức trong ngày"", ""chuyển động 24h"", ""tintuc"", ""tin tuc"", ""Cảnh báo"", ""cháy rừng"", ""camera A.I""]",News & Politics,vi,,True,hd,False,rectangular,public,False,[],passed_all_criteria,,"Công nghệ số đang từng bước thay đổi cách con người bảo vệ những cánh rừng. Công nghệ số đang cùng đồng hành với những người kiểm lâm băng rừng, vượt "
7w2o-pPW_Ck,TSTC trưa 14/6: Điều tra giao dịch gian lận liên quan đến CHATGPT PRO | VTV24,VTV24,https://www.youtube.com/watch?v=7w2o-pPW_Ck,2026-06-14T00:00:00Z,30m 59s,1859,15771,115,0,0.73,TSTC_trua_14_6_Đieu_tra_giao_dich_gian_lan_lien_quan_đen_CHATGPT_PRO_VTV24.wav,,,,,completed,1858.773,1,SPEAKER_00,227,,"[""Tiếng VI-ORIG""]",,0.0,0.0,0.0,,,0.0,,"[""tin tức"", ""vtv24"", ""tin tức vtv"", ""thời sự vtv"", ""thời sự vtv24"", ""tin tức trong ngày"", ""chuyển động 24h"", ""tintuc"", ""tin tuc"", ""CHATGPT PRO"", ""Liệt sĩ"", ""hiến máu"", ""Bảo hiểm y tế"", ""El Nino"", ""Ethanol"", ""Iran"", ""Mỹ"", ""G7"", ""Trung Quốc""]",News & Politics,vi,,True,hd,False,rectangular,public,False,[],passed_all_criteria,,Những nội dung trong bản tin: - Cầu siêu Liệt sĩ tại công viên Lê Thị Riêng - Tôn vinh những Người hiến máu trên toàn thế giới - Cho đi để sự sống ở l
xwqvX1Z-A9I,Tăng mạnh lượng khách du lịch dùng phương tiện công cộng | VTV24,VTV24,https://www.youtube.com/watch?v=xwqvX1Z-A9I,2026-06-14T00:00:00Z,2m 40s,160,3532,21,0,0.59,Tang_manh_luong_khach_du_lich_dung_phuong_tien_cong_cong_VTV24.wav,,,,,completed,159.974,1,SPEAKER_00,21,,"[""Tiếng VI-ORIG""]",,0.0,0.0,0.0,,,0.0,,"[""tin tức"", ""vtv24"", ""tin tức vtv"", ""thời sự vtv"", ""thời sự vtv24"", ""tin tức trong ngày"", ""chuyển động 24h"", ""tintuc"", ""tin tuc"", ""du lịch"", ""phương tiện công cộng"", ""tàu hỏa"", ""xe khách"", ""vận tải công cộng""]",News & Politics,vi,,True,hd,False,rectangular,public,False,[],passed_all_criteria,,"Ngay từ đầu kỳ nghỉ hè, lượng hành khách sử dụng tàu hỏa và xe khách trên các tuyến du lịch đã tăng mạnh. Điều đáng chú ý không nằm ở con số tăng trưở"
RK2HDazyPmM,Trân trọng ký ức lịch sử | VTV24,VTV24,https://www.youtube.com/watch?v=RK2HDazyPmM,2026-06-14T00:00:00Z,2m 43s,163,1198,16,0,1.34,Tran_trong_ky_uc_lich_su_VTV24.wav,,,,,completed,163.413,1,SPEAKER_00,26,,"[""Tiếng VI-ORIG""]",,0.0,0.0,0.0,,,0.0,,"[""tin tức"", ""vtv24"", ""tin tức vtv"", ""thời sự vtv"", ""thời sự vtv24"", ""tin tức trong ngày"", ""chuyển động 24h"", ""tintuc"", ""tin tuc"", ""lịch sử"", ""ký ức"", ""hiện vật"", ""sưu tầm"", ""người trẻ""]",News & Politics,vi,,True,hd,False,rectangular,public,False,[],passed_all_criteria,,"Giữa nhịp sống hối hả và hiện đại, có những bạn trẻ nuôi đam mê sưu tầm những món đồ quân nhu và những kỷ vật chiến tranh - những hiện vật lặng lẽ man"
pCzdD67gNi0,Cho đi để sự sống ở lại | VTV24,VTV24,https://www.youtube.com/watch?v=pCzdD67gNi0,2026-06-14T00:00:00Z,2m 7s,127,4379,53,0,1.21,Cho_đi_đe_su_song_o_lai_VTV24.wav,,,,,completed,126.528,1,SPEAKER_00,16,,"[""Tiếng VI-ORIG""]",,0.0,0.0,0.0,,,0.0,,"[""tin tức"", ""vtv24"", ""tin tức vtv"", ""thời sự vtv"", ""thời sự vtv24"", ""tin tức trong ngày"", ""chuyển động 24h"", ""tintuc"", ""tin tuc"", ""Ngày Quốc tế Người hiến máu"", ""Hiến máu"", ""cứu người""]",News & Politics,vi,,True,hd,False,rectangular,public,False,[],passed_all_criteria,,"Hôm nay (14/6) là Ngày Quốc tế Người hiến máu. Với chủ đề: ‘Một giọt nhân ái - Hiến máu, cứu người’ chiến dịch năm nay Tổ chức Y tế Thế giới nhấn mạnh"
f9mwQVmMTaI,Quảng Ngãi: Bắt đầu khai quật tìm mộ Liệt sĩ tập thể | VTV24,VTV24,https://www.youtube.com/watch?v=f9mwQVmMTaI,2026-06-14T00:00:00Z,3m 14s,194,8370,42,0,0.5,Quang_Ngai_Bat_đau_khai_quat_tim_mo_Liet_si_tap_the_VTV24.wav,,,,,completed,194.281,1,SPEAKER_00,20,,"[""Tiếng VI-ORIG""]",,0.0,0.0,0.0,,,0.0,,"[""tin tức"", ""vtv24"", ""tin tức vtv"", ""thời sự vtv"", ""thời sự vtv24"", ""tin tức trong ngày"", ""chuyển động 24h"", ""tintuc"", ""tin tuc"", ""Chiến dịch 500 ngày đêm"", ""khai quật"", ""mộ Liệt sĩ"", ""Quảng Ngãi""]",News & Politics,vi,,True,hd,False,rectangular,public,False,[],passed_all_criteria,,"Hôm nay (14/6), Bộ Chỉ huy quân sự tỉnh Quảng Ngãi bắt đầu khai quật thăm dò tại đường Trường Chinh, thuộc phường Kon Tum và Đăk Cấm.  Nhiều dữ liệu c"
bzTZvMIL0kA,Thế giới toàn cảnh 14/6: Lạm phát tăng tại một số nền kinh tế châu Âu | VTV24,VTV24,https://www.youtube.com/watch?v=bzTZvMIL0kA,2026-06-14T00:00:00Z,10m 54s,654,13778,89,0,0.65,The_gioi_toan_canh_14_6_Lam_phat_tang_tai_mot_so_nen_kinh_te_chau_Au_VTV24.wav,,,,,completed,653.502,1,SPEAKER_00,86,,"[""Tiếng VI-ORIG""]",,0.0,0.0,0.0,,,0.0,,"[""tin tức"", ""vtv24"", ""tin tức vtv"", ""thời sự vtv"", ""thời sự vtv24"", ""tin tức trong ngày"", ""chuyển động 24h"", ""tintuc"", ""tin tuc"", ""-\tLạm phát"", ""châu Âu"", ""EU"", ""Thái Lan"", ""OPENAI"", ""Mỹ"", ""HIV/AIDS"", ""Trung Quốc""]",News & Politics,vi,,True,hd,False,rectangular,public,False,[],passed_all_criteria,,Những nội dung trong bản tin: - Mỹ - Iran cận kề thỏa thuận hòa bình - Israel tiếp tục không kích Li Băng - Lạm phát tăng tại một số nền kinh tế châu 
6GoP73xnwD4,Lỗ hổng quản lý để khai thác cát trái phép | VTV24,VTV24,https://www.youtube.com/watch?v=6GoP73xnwD4,2026-06-14T00:00:00Z,3m 30s,210,7248,39,0,0.54,Lo_hong_quan_ly_đe_khai_thac_cat_trai_phep_VTV24.wav,,,,,completed,209.966,1,SPEAKER_00,35,,"[""Tiếng VI-ORIG""]",,0.0,0.0,0.0,,,0.0,,"[""tin tức"", ""vtv24"", ""tin tức vtv"", ""thời sự vtv"", ""thời sự vtv24"", ""tin tức trong ngày"", ""chuyển động 24h"", ""tintuc"", ""tin tuc"", ""Lỗ hổng quản lý"", ""khai thác cát"", ""trái phép"", ""Hà Nội""]",News & Politics,vi,,True,hd,False,rectangular,public,False,[],passed_all_criteria,,"Một đường dây khai thác cát trái phép quy mô lớn vừa bị Phòng Cảnh sát Kinh tế, Công an Thành phố Hà Nội triệt phá. Theo cơ quan điều tra, nhóm đối tư"
Wf4WzSmzsVk,"Thời tiết ngày 14/6: Bắc Bộ, cao nguyên Trung Bộ và Nam Bộ chiều tối mưa giông | VTV24",VTV24,https://www.youtube.com/watch?v=Wf4WzSmzsVk,2026-06-14T00:00:00Z,2m 53s,173,61205,121,0,0.2,Thoi_tiet_ngay_14_6_Bac_Bo_cao_nguyen_Trung_Bo_va_Nam_Bo_chieu_toi_mua_giong_VTV24.wav,,,,,completed,172.455,1,SPEAKER_00,30,,"[""Tiếng VI-ORIG""]",,0.0,0.0,0.0,,,0.0,,"[""tin tức"", ""vtv24"", ""tin tức vtv"", ""thời sự vtv"", ""thời sự vtv24"", ""tin tức trong ngày"", ""chuyển động 24h"", ""tintuc"", ""tin tuc"", ""Dự báo thời tiết"", ""Thời tiết hôm nay""]",News & Politics,vi,,True,hd,False,rectangular,public,False,[],passed_all_criteria,,"Từ chiều tối nay, một rãnh áp thấp từ phía Bắc dịch xuống, kết hợp với hội tụ gió trên cao hoạt động mạnh, khiến Bắc Bộ chuyển sang mưa giông diện rộn"
5OYwq-wsN6Q,"Xem quá nhiều video ngắn, bạn có thể bị ""não bỏng ngô"" | VTV24",VTV24,https://www.youtube.com/watch?v=5OYwq-wsN6Q,2026-06-13T00:00:00Z,8m 6s,486,20760,384,0,1.85,Xem_qua_nhieu_video_ngan_ban_co_the_bi_nao_bong_ngo_VTV24.wav,,,,,completed,485.518,1,SPEAKER_00,69,,"[""Tiếng VI-ORIG""]",,0.0,0.0,0.0,,,0.0,,"[""tin tức"", ""vtv24"", ""tin tức vtv"", ""thời sự vtv"", ""thời sự vtv24"", ""tin tức trong ngày"", ""chuyển động 24h"", ""tintuc"", ""tin tuc""]",News & Politics,vi,,True,hd,False,rectangular,public,False,[],passed_all_criteria,,"""Não bỏng ngô"" là thuật ngữ được các nhà nghiên cứu mô tả tình trạng não bộ quen với các kích thích nhanh, dẫn tới suy giảm khả năng tập trung, ghi nh"
qrAtDabMbzk,Dữ liệu ADN: Hy vọng của những cuộc đoàn tụ | VTV24,VTV24,https://www.youtube.com/watch?v=qrAtDabMbzk,2026-06-13T00:00:00Z,3m 22s,202,990,19,0,1.92,Du_lieu_ADN_Hy_vong_cua_nhung_cuoc_đoan_tu_VTV24.wav,,,,,completed,201.642,1,SPEAKER_00,28,,"[""Tiếng VI-ORIG""]",,0.0,0.0,0.0,,,0.0,,"[""tin tức"", ""vtv24"", ""tin tức vtv"", ""thời sự vtv"", ""thời sự vtv24"", ""tin tức trong ngày"", ""chuyển động 24h"", ""tintuc"", ""tin tuc""]",News & Politics,vi,,True,hd,False,rectangular,public,False,[],passed_all_criteria,,"Một nấm mộ có tên, một nơi thờ tự rõ ràng không chỉ giúp người thân nguôi ngoai mà còn giúp cộng đồng thể hiện sự tri ân với người đã hy sinh. Việc đẩ"
jUe0rYvXYCg,"Xe máy chở thuốc lá lậu, ""hung thần"" trên quốc lộ | VTV24",VTV24,https://www.youtube.com/watch?v=jUe0rYvXYCg,2026-06-13T00:00:00Z,2m 3s,123,4482,44,0,0.98,Xe_may_cho_thuoc_la_lau_hung_than_tren_quoc_lo_VTV24.wav,,,,,completed,123.437,1,SPEAKER_00,15,,"[""Tiếng VI-ORIG""]",,0.0,0.0,0.0,,,0.0,,"[""tin tức"", ""vtv24"", ""tin tức vtv"", ""thời sự vtv"", ""thời sự vtv24"", ""tin tức trong ngày"", ""chuyển động 24h"", ""tintuc"", ""tin tuc""]",News & Politics,vi,,True,hd,False,rectangular,public,False,[],passed_all_criteria,,"Đêm xuống, trên các tuyến quốc lộ vùng biên giới Tây Nam, những chiếc xe máy chở thuốc lá lậu lao vào nội địa. Điểm chung của các chiếc xe này là khôn"
